time_ms,yaw_deg
1784533426993,-13.920983
1784533426998,-13.924053
1784533427003,-13.926149
1784533427008,-13.927248
1784533427013,-13.929507
1784533427018,-13.932065
1784533427023,-13.934686
1784533427028,-13.936708
1784533427033,-13.938208
1784533427038,-13.938072
1784533427043,-13.938402
1784533427048,-13.938720
1784533427053,-13.939811
1784533427058,-13.940313
1784533427063,-13.941117
1784533427068,-13.942759
1784533427073,-13.944674
1784533427078,-13.945432
1784533427083,-13.947682
1784533427088,-13.949756
1784533427093,-13.952476
1784533427098,-13.954297
1784533427103,-13.955249
1784533427108,-13.958286
1784533427113,-13.960997
1784533427118,-13.960922
1784533427123,-13.961503
1784533427128,-13.963491
1784533427133,-13.965072
1784533427138,-13.965441
1784533427143,-13.967607
1784533427148,-13.969246
1784533427153,-13.971018
1784533427158,-13.973384
1784533427163,-13.973729
1784533427168,-13.977101
1784533427173,-13.979057
1784533427178,-13.980983
1784533427183,-13.982681
1784533427188,-13.984700
1784533427193,-13.985940
1784533427198,-13.986926
1784533427203,-13.990481
1784533427208,-13.993641
1784533427213,-13.995080
1784533427218,-13.996069
1784533427223,-13.997570
1784533427228,-13.999001
1784533427233,-14.001133
1784533427238,-14.000304
1784533427243,-14.001764
1784533427248,-14.002745
1784533427253,-14.003585
1784533427258,-14.005008
1784533427263,-14.006401
1784533427268,-14.007685
1784533427273,-14.008232
1784533427278,-14.008759
1784533427283,-14.010487
1784533427288,-14.011364
1784533427293,-14.011312
1784533427298,-14.013256
1784533427303,-14.014488
1784533427308,-14.014507
1784533427313,-14.016030
1784533427318,-14.017876
1784533427323,-14.019861
1784533427328,-14.021043
1784533427333,-14.022983
1784533427338,-14.025114
1784533427343,-14.025215
1784533427348,-14.027958
1784533427353,-14.029762
1784533427358,-14.030831
1784533427363,-14.031050
1784533427368,-14.033318
1784533427373,-14.034953
1784533427378,-14.037033
1784533427383,-14.040275
1784533427388,-14.040855
1784533427393,-14.044234
1784533427398,-14.046028
1784533427403,-14.049170
1784533427408,-14.050524
1784533427413,-14.051876
1784533427418,-14.054467
1784533427423,-14.055265
1784533427428,-14.057297
1784533427433,-14.058280
1784533427438,-14.060242
1784533427443,-14.061605
1784533427448,-14.062600
1784533427453,-14.065056
1784533427458,-14.065656
1784533427463,-14.066600
1784533427468,-14.067632
1784533427473,-14.069756
1784533427478,-14.071246
1784533427483,-14.072144
1784533427488,-14.072822
1784533427493,-14.075500
1784533427498,-14.078730
1784533427503,-14.078945
1784533427508,-14.079933
1784533427513,-14.081298
1784533427518,-14.083084
1784533427523,-14.085912
1784533427528,-14.086636
1784533427533,-14.089306
1784533427538,-14.090251
1784533427543,-14.092471
1784533427548,-14.093360
1784533427553,-14.095345
1784533427558,-14.096342
1784533427563,-14.097572
1784533427568,-14.100115
1784533427573,-14.102106
1784533427578,-14.103427
1784533427583,-14.104037
1784533427588,-14.107404
1784533427593,-14.109985
1784533427598,-14.111454
1784533427603,-14.113409
1784533427608,-14.116213
1784533427613,-14.118040
1784533427618,-14.119619
1784533427623,-14.122762
1784533427628,-14.123568
1784533427633,-14.126059
1784533427638,-14.128198
1784533427643,-14.128716
1784533427648,-14.130610
1784533427653,-14.132778
1784533427658,-14.134052
1784533427663,-14.137047
1784533427668,-14.138893
1784533427673,-14.141079
1784533427678,-14.142922
1784533427683,-14.146568
1784533427688,-14.147022
1784533427693,-14.147882
1784533427698,-14.150890
1784533427703,-14.152918
1784533427708,-14.155440
1784533427713,-14.158273
1784533427718,-14.159411
1784533427723,-14.161073
1784533427728,-14.164170
1784533427733,-14.165751
1784533427738,-14.168849
1784533427743,-14.172017
1784533427748,-14.172466
1784533427753,-14.173570
1784533427758,-14.177542
1784533427763,-14.178255
1784533427768,-14.179692
1784533427773,-14.181979
1784533427778,-14.184172
1784533427783,-14.184411
1784533427788,-14.187202
1784533427793,-14.188869
1784533427798,-14.189899
1784533427803,-14.192007
1784533427808,-14.194195
1784533427813,-14.195323
1784533427818,-14.198059
1784533427823,-14.199247
1784533427828,-14.201105
1784533427833,-14.201540
1784533427838,-14.204928
1784533427843,-14.208027
1784533427848,-14.208928
1784533427853,-14.210541
1784533427858,-14.212561
1784533427863,-14.214166
1784533427868,-14.216565
1784533427873,-14.218215
1784533427878,-14.221148
1784533427883,-14.223423
1784533427888,-14.225361
1784533427893,-14.228082
1784533427898,-14.229862
1784533427903,-14.230910
1784533427908,-14.232874
1784533427913,-14.235263
1784533427918,-14.236676
1784533427923,-14.237857
1784533427928,-14.242248
1784533427933,-14.241840
1784533427938,-14.244242
1784533427943,-14.246398
1784533427948,-14.249395
1784533427953,-14.249885
1784533427958,-14.252607
1784533427963,-14.253479
1784533427968,-14.254492
1784533427973,-14.257541
1784533427978,-14.258510
1784533427983,-14.260109
1784533427988,-14.261406
1784533427993,-14.263599
1784533427998,-14.265863
1784533428003,-14.267926
1784533428008,-14.270239
1784533428013,-14.270583
1784533428018,-14.272300
1784533428023,-14.274051
1784533428028,-14.275100
1784533428033,-14.276735
1784533428038,-14.278105
1784533428043,-14.278633
1784533428048,-14.280990
1784533428053,-14.282624
1784533428058,-14.284866
1784533428063,-14.286255
1784533428068,-14.288112
1784533428073,-14.291055
1784533428078,-14.292001
1784533428083,-14.293981
1784533428088,-14.296418
1784533428093,-14.297090
1784533428098,-14.299519
1784533428103,-14.300094
1784533428108,-14.301696
1784533428113,-14.304513
1784533428118,-14.304982
1784533428123,-14.307271
1784533428128,-14.307735
1784533428133,-14.309630
1784533428138,-14.311161
1784533428143,-14.312572
1784533428148,-14.314103
1784533428153,-14.316286
1784533428158,-14.318244
1784533428163,-14.319860
1784533428168,-14.320308
1784533428173,-14.321491
1784533428178,-14.324379
1784533428183,-14.326175
1784533428188,-14.328432
1784533428193,-14.329663
1784533428198,-14.331656
1784533428203,-14.331292
1784533428208,-14.332769
1784533428213,-14.335645
1784533428218,-14.337902
1784533428223,-14.338832
1784533428228,-14.342276
1784533428233,-14.344463
1784533428238,-14.345196
1784533428243,-14.348276
1784533428248,-14.348307
1784533428253,-14.349548
1784533428258,-14.351728
1784533428263,-14.351728
1784533428268,-14.355227
1784533428273,-14.357267
1784533428278,-14.358375
1784533428283,-14.360263
1784533428288,-14.361317
1784533428293,-14.363900
1784533428298,-14.365287
1784533428303,-14.367873
1784533428308,-14.369452
1784533428313,-14.371106
1784533428318,-14.372934
1784533428323,-14.375027
1784533428328,-14.376822
1784533428333,-14.378792
1784533428338,-14.381125
1784533428343,-14.382302
1784533428348,-14.384220
1784533428353,-14.386387
1784533428358,-14.389588
1784533428363,-14.391260
1784533428368,-14.391986
1784533428373,-14.394347
1784533428378,-14.397216
1784533428383,-14.398500
1784533428388,-14.400397
1784533428393,-14.402718
1784533428398,-14.404139
1784533428403,-14.404900
1784533428408,-14.407547
1784533428413,-14.409447
1784533428418,-14.411991
1784533428423,-14.413263
1784533428428,-14.415838
1784533428433,-14.417186
1784533428438,-14.418646
1784533428443,-14.419908
1784533428448,-14.420832
1784533428453,-14.423025
1784533428458,-14.424714
1784533428463,-14.424973
1784533428468,-14.427180
1784533428473,-14.429502
1784533428478,-14.430952
1784533428483,-14.433868
1784533428488,-14.436115
1784533428493,-14.436998
1784533428498,-14.438692
1784533428503,-14.440130
1784533428508,-14.441308
1784533428513,-14.443521
1784533428518,-14.446038
1784533428523,-14.448229
1784533428528,-14.449041
1784533428533,-14.451086
1784533428538,-14.452938
1784533428543,-14.454085
1784533428548,-14.457675
1784533428553,-14.458626
1784533428558,-14.461244
1784533428563,-14.462591
1784533428568,-14.464094
1784533428573,-14.465651
1784533428578,-14.466225
1784533428583,-14.467934
1784533428588,-14.470287
1784533428593,-14.472336
1784533428598,-14.473830
1784533428603,-14.473900
1784533428608,-14.476330
1784533428613,-14.479548
1784533428618,-14.481786
1784533428623,-14.482682
1784533428628,-14.484203
1784533428633,-14.486377
1784533428638,-14.486625
1784533428643,-14.488379
1784533428648,-14.492785
1784533428653,-14.493995
1784533428658,-14.494626
1784533428663,-14.495706
1784533428668,-14.496866
1784533428673,-14.498912
1784533428678,-14.499887
1784533428683,-14.501251
1784533428688,-14.502580
1784533428693,-14.504381
1784533428698,-14.505422
1784533428703,-14.506320
1784533428708,-14.507807
1784533428713,-14.509807
1784533428718,-14.512371
1784533428723,-14.513676
1784533428728,-14.515352
1784533428733,-14.517371
1784533428738,-14.519963
1784533428743,-14.521100
1784533428748,-14.523284
1784533428753,-14.525627
1784533428758,-14.526170
1784533428763,-14.527623
1784533428768,-14.531507
1784533428773,-14.532531
1784533428778,-14.533237
1784533428783,-14.535333
1784533428788,-14.536974
1784533428793,-14.538213
1784533428798,-14.541241
1784533428803,-14.542282
1784533428808,-14.544507
1784533428813,-14.545978
1784533428818,-14.548609
