time_ms,has_target,X_cam,Y_cam,Z_cam
1784614285480,1,0.603000,0.031721,0.007801
1784614285514,1,0.605000,0.030824,0.007826
1784614285548,1,0.605000,0.029823,0.007826
1784614285581,1,0.605000,0.025315,0.008329
1784614285615,1,0.604000,0.020773,0.007813
1784614285648,1,0.604000,0.016273,0.008315
1784614285682,1,0.604000,0.015773,0.007813
1784614285715,1,0.602000,0.015222,0.007288
1784614285749,1,0.604000,0.015773,0.007813
1784614285783,1,0.606000,0.016828,0.007839
1784614285816,1,0.607000,0.017861,0.007852
1784614285850,1,0.608000,0.019904,0.006856
1784614285884,1,0.610000,0.021989,0.005866
1784614285917,1,0.613000,0.024127,0.004877
1784614285951,1,0.614000,0.025183,0.003866
1784614285984,1,0.618000,0.025347,0.003891
1784614286018,1,0.619000,0.026926,0.003384
1784614286051,1,0.622000,0.027056,0.003400
1784614286085,1,0.624000,0.028176,0.004447
1784614286119,1,0.626000,0.028785,0.003942
1784614286153,1,0.627000,0.029869,0.003948
1784614286187,1,0.627000,0.028831,0.003948
1784614286220,1,0.628000,0.027837,0.003954
1784614286253,1,0.626000,0.023084,0.004461
1784614286287,1,0.625000,0.017873,0.004454
1784614286321,1,0.625000,0.009595,0.005492
1784614286355,1,0.622000,0.001310,0.005465
1784614286388,1,0.618000,-0.008419,0.004917
1784614286421,1,0.612000,-0.016950,0.003346
1784614286455,1,0.611000,-0.026533,0.004862
1784614286489,1,0.606000,-0.034342,0.003816
1784614286522,1,0.600000,-0.042446,0.003280
1784614286555,1,0.597000,-0.051130,0.005246
1784614286589,1,0.594000,-0.059725,0.008177
1784614286622,1,0.591000,-0.062358,0.008136
1784614286656,1,0.591000,-0.062848,0.009607
1784614286689,1,0.591000,-0.059912,0.010588
1784614286723,1,0.591000,-0.051595,0.013041
1784614286756,1,0.593000,-0.038515,0.011608
1784614286790,1,0.591000,-0.025664,0.008626
1784614286824,1,0.592000,-0.012966,0.007658
1784614286857,1,0.596000,-0.002198,0.007710
1784614286890,1,0.597000,0.003729,0.007723
1784614286925,1,0.600000,0.003251,0.008260
1784614286958,1,0.602000,-0.001722,0.007288
1784614286993,1,0.607000,-0.012792,0.007349
1784614287026,1,0.609000,-0.028967,0.006362
1784614287060,1,0.614000,-0.048520,0.007433
1784614287093,1,0.619000,-0.065825,0.006980
1784614287127,1,0.620000,-0.080816,0.006477
1784614287160,1,0.624000,-0.090119,0.003929
1784614287194,1,0.629000,-0.096569,0.002395
1784614287227,1,0.634000,-0.096812,-0.001269
1784614287262,1,0.639000,-0.090170,-0.005522
1784614287294,1,0.647000,-0.076301,-0.007739
1784614287328,1,0.659000,-0.057531,-0.007336
1784614287362,1,0.669000,-0.037359,-0.009668
1784614287397,1,0.677000,-0.017069,-0.013716
1784614287430,1,0.687000,0.004859,-0.014489
1784614287465,1,0.696000,0.017023,-0.015257
1784614287498,1,0.706000,0.026034,-0.014890
1784614287531,1,0.716000,0.025810,-0.015695
1784614287564,1,0.729000,0.019037,-0.015980
1784614287598,1,0.738000,0.007053,-0.016177
1784614287631,1,0.746000,-0.008310,-0.018210
1784614287664,1,0.757000,-0.024099,-0.019107
1784614287698,1,0.765000,-0.038920,-0.018674
1784614287732,1,0.773000,-0.052765,-0.019511
1784614287765,1,0.781000,-0.063656,-0.019713
1784614287799,1,0.791000,-0.065781,-0.018652
1784614287832,1,0.798000,-0.065702,-0.019479
1784614287866,1,0.804000,-0.060872,-0.019626
1784614287899,1,0.811000,-0.050660,-0.019797
1784614287933,1,0.819000,-0.039633,-0.020672
1784614287967,1,0.823000,-0.025519,-0.021456
1784614288000,1,0.830000,-0.009933,-0.023705
1784614288034,1,0.832000,0.001064,-0.025143
1784614288068,1,0.839000,0.005935,-0.024658
1784614288101,1,0.844000,0.003874,-0.025505
1784614288134,1,0.845000,-0.002417,-0.029042
1784614288169,1,0.851000,-0.010184,-0.029954
1784614288202,1,0.856000,-0.017330,-0.031551
1784614288235,1,0.863000,-0.023187,-0.031809
1784614288269,1,0.861000,-0.025272,-0.033879
1784614288302,1,0.866000,-0.026136,-0.033357
1784614288336,1,0.869000,-0.023349,-0.034915
1784614288370,1,0.868000,-0.021885,-0.037757
1784614288404,1,0.869000,-0.021910,-0.037800
1784614288437,1,0.870000,-0.024816,-0.039288
1784614288471,1,0.868000,-0.026196,-0.040638
1784614288505,1,0.866000,-0.026852,-0.039826
1784614288538,1,0.865000,-0.029686,-0.042651
1784614288572,1,0.863000,-0.029617,-0.045417
1784614288606,1,0.861000,-0.030261,-0.047456
1784614288641,1,0.860000,-0.034498,-0.047401
1784614288673,1,0.857000,-0.035796,-0.047235
